Field_1,Count
accorded,1
accordeth,1
according,46
accordingly,10
accords,3
accost,6
accosted,1
account,47
"account'd",1
"account'st",1
accountant,2
accounted,8
accounts,3
accoutered,1
accoutred,1
accoutrement,2
accoutrements,2
accrue,1
accumulate,2
accumulated,1
accumulation,1
"accurs'd",13
accursed,17
accurst,6
"accus'd",19
"accus'd-",1
accusation,13
accusations,6
accusative,1
accusativo,2
accuse,39
accused,5
accuser,2
"accuser's",1
accusers,6
accuses,2
accuseth,1
accusing,3
"accustom'd",4
accustomed,2
ace,3
acerb,1
ache,14
acheron,3
aches,6
"achiev'd",9
achieve,14
achieved,3
achievement,3
achievements,4
achiever,1
achieves,1
achilles,163
"achilles'",7
aching,3
achitophel,1
acides,1
"acknowledg'd",2
"acknowledg'd-",1
acknowledge,19
acknowledged,1
acknowledgment,1
acknown,1
aconitum,1
acordo,1
acorn,4
acquaint,22
acquaintance,40
acquainted,42
acquaints,1
"acquir'd",2
acquire,3
acquire-after,1
acquisition,1
acquit,10
acquittance,3
acquittances,1
acquitted,3
acre,3
acres,4
across,7
act,455
actaeon,2
"actaeon's",1
acted,7
acting,8
action,120
"action's",1
action-taking,1
actions,31
actium,3
active,9
active-valiant,1
actively,1
activities,1
activity,3
actor,13
"actor's",1
actors,11
acts,25
actual,3
actually,1
acture,1
acute,2
acutely,1
ad,8
adage,2
adallas,1
adam,38
"adam's",3
adamant,3
add,48
"add'st",1
added,22
adder,13
"adder's",3
adders,4
"adders'",1
addeth,1
addict,1
addicted,2
addiction,1
adding,9
addition,31
additional,4
additions,6
addle,3
address,13
"address'd",9
addresses,2
addressing,1
addrest,2
adds,7
adhere,2
adheres,3
adieu,102
adieu-,1
adieus,2
adiew,2
adjacent,2
"adjoin'd",1
adjoining,7
adjourn,1
"adjourn'd",1
"adjudg'd",4
adjudged,1
adjunct,5
administer,1
administration,1
"admir'd",11
admirable,15
admiral,6
admiration,14
admire,9
admired,8
admirer,1
admiring,6
admiringly,2
admit,24
admits,8
admittance,10
admitted,14
admitting,1
admonish,1
admonishing,1
admonishment,1
admonishments,1
admonition,2
ado,21
adon,2
"adon's",1
adonis,22
"adonis'",5
adons,1
adopt,4
adopted,6
adoptedly,1
adoption,4
adoptious,1
adopts,1
"ador'd",2
adoration,2
adorations,1
adore,16
adored,3
adorer,1
adores,2
adorest,1
adoreth,1
adoring,1
adorn,4
"adorn'd",1
adorned,2
adornings,1
adornment,2
adorns,1
adown-a,1
adramadio,2
adrian,16
